"","seq_name","taxonomy_Kingdom","taxonomy_Supergroup","taxonomy_Division","taxonomy_Class","taxonomy_Order","taxonomy_Family","taxonomy_Genus","taxonomy_Species","confidence_Kingdom","confidence_Supergroup","confidence_Division","confidence_Class","confidence_Order","confidence_Family","confidence_Genus","confidence_Species"
"873","ASV_873","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Ustilaginomycetes","Ceraceosorus","Ceraceosorus_bombacis",61.2380370043318,60.7151992344371,60.2133186856207,58.7557011425157,35.2795288685254,35.2795288685254,35.2795288685254,35.2795288685254
"874","ASV_874","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Pucciniomycotina_X","Pucciniomycotina_XX","Pucciniomycotina_XX_sp.",66.378556935121,43.5659518745961,43.5659518745961,43.0267445204404,43.0267445204404,12.8224559695958,12.8224559695958,12.8224559695958
"875","ASV_875","Eukaryota","Archaeplastida","Streptophyta","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Taraxacum","Taraxacum_kok-saghyz",99.0898212588637,99.0898212588637,99.0898212588637,99.0898212588637,99.0898212588637,99.0898212588637,61.6986696139143,61.6986696139143
"876","ASV_876","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Lecanoromycetes","Pertusaria","Pertusaria_amara",79.7565827917316,79.1949626204821,79.1949626204821,79.1949626204821,79.1949626204821,23.0512795245922,6.50958295956217,4.94908263299874
"877","ASV_877","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Ustilaginomycetes","Thecaphora","Thecaphora_saponariae",73.3733580830078,73.3733580830078,73.3733580830078,28.7775614530819,13.1362827241179,13.1362827241179,13.1362827241179,13.1362827241179
"878","ASV_878","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Udeniomyces","Udeniomyces_pannonicus",72.1705475935693,72.1705475935693,72.1705475935693,66.1822443091127,47.4108365121152,46.7706418750232,19.9356239559319,19.2670747444886
"879","ASV_879","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Sistotrema","Sistotrema_oblongisporum",77.1776977715892,76.3646582505288,76.3646582505288,75.3408115622273,55.4306361866677,54.0593895692153,42.6905621575041,13.5800974322849
"880","ASV_880","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Microbotryomycetes","Sporidiobolus","Sporidiobolus_pararoseus",74.8333196365505,74.8333196365505,74.8333196365505,65.0832199897878,65.0832199897878,27.7589966739152,15.8367742322706,6.89056450313725
"881","ASV_881","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Sordariomycetes","Diatrype","Diatrype_prominens",96.1010735124189,96.1010735124189,96.1010735124189,96.1010735124189,96.1010735124189,75.9347912132069,11.5840502753012,10.6100950044592
"882","ASV_882","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Malassezia","Malassezia_restricta",72.6191065551652,71.9501383196167,71.9501383196167,70.6896705918372,49.9492447845599,49.3971211958415,29.6889550991269,23.4056659636593
"883","ASV_883","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Exobasidiomycetes_X","Exobasidiomycetes_X_sp.",75.8291892228837,68.0363083172564,68.0363083172564,58.967494813833,48.4837455104854,48.4837455104854,14.1327635741628,14.1327635741628
