ID,sample_id_blood,sample_id_faeces,sampling_state,sampling_location,sub_species,sample_type
HOB23,B026,F026,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB24,B027,F027,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB28,B028,F028,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB3,B029,F029,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB37,B030,F030,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB46,B031,F031,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB51,B032,F032,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB61,B033,F033,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB63,B034,F034,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB8,B035,F035,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB100,B036,F036,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB83,B037,F037,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
